trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2020-01,2022-05,6.837154362416108,149.0
2020-02,2022-05,6.071945130315501,911.25
2020-03,2022-05,6.833589518545184,130.6997
2020-04,2022-05,6.127385468424543,1718.74
2020-05,2022-05,6.49001,3.9997
2020-06,2022-05,6.7675,600.0
2020-07,2022-05,6.642820709002805,196.05
2020-08,2022-05,7.142511638628735,733.9997000000001
2020-09,2022-05,6.633666362304377,470.93
2020-10,2022-05,7.710844881014776,1186.5801
2020-11,2022-05,6.581504248197733,155.36
2020-12,2022-05,8.048413656573523,308.13000000000005
2021-01,2022-05,8.817746217148924,376.7
2021-02,2022-05,7.354166666666667,240.0
2021-03,2022-05,8.033587652372182,114.03
2021-04,2022-05,7.9430450978838065,252.34
2021-05,2022-05,7.904411764705882,68.0
2021-06,2022-05,6.409513274336283,226.0
2021-07,2022-05,7.399921639344265,381.25
2021-08,2022-05,6.7889532768882805,234.2396
2021-09,2022-05,9.06945303128172,433.48
2021-10,2022-05,5.833935599662586,2349.6305
2021-11,2022-05,8.363071895424836,76.5
2021-12,2022-05,7.535218533701106,1703.8402
2022-01,2022-05,8.6339375,80.0
2022-02,2022-05,5.476106639839033,99.4
2022-03,2022-05,4.45601828945797,87.9195
2022-04,2022-05,,
2022-05,2022-05,10.167420485729796,596.768
2022-06,2022-05,,
2022-07,2022-05,,
2022-08,2022-05,,
2022-09,2022-05,,
2022-10,2022-05,,
2022-11,2022-05,,
2022-12,2022-05,,
2023-01,2022-05,,
2023-02,2022-05,,
2023-03,2022-05,,
2023-04,2022-05,,
2023-05,2022-05,,
2023-06,2022-05,,
2023-07,2022-05,,
2023-08,2022-05,,
2023-09,2022-05,,
2023-10,2022-05,,
2023-11,2022-05,,
2023-12,2022-05,,
2024-01,2022-05,,
2024-02,2022-05,,
2024-03,2022-05,,
2024-04,2022-05,,
2024-05,2022-05,,
2024-06,2022-05,,
2024-07,2022-05,,
2024-08,2022-05,,
2024-09,2022-05,,
2024-10,2022-05,,
2024-11,2022-05,,
2024-12,2022-05,,
2013-01,2022-06,,
2013-02,2022-06,,
2013-03,2022-06,,
2013-04,2022-06,,
2013-05,2022-06,,
2013-06,2022-06,,
2013-07,2022-06,,
2013-08,2022-06,,
2013-09,2022-06,,
2013-10,2022-06,,
2013-11,2022-06,,
2013-12,2022-06,,
2014-01,2022-06,,
2014-02,2022-06,,
2014-03,2022-06,,
2014-04,2022-06,12.636490684006382,60.2409
2014-05,2022-06,,
2014-06,2022-06,,
2014-07,2022-06,,
2014-08,2022-06,,
2014-09,2022-06,,
2014-10,2022-06,3.3333333,64.0
2014-11,2022-06,,
2014-12,2022-06,,
2015-01,2022-06,,
2015-02,2022-06,,
2015-03,2022-06,,
2015-04,2022-06,,
2015-05,2022-06,,
2015-06,2022-06,16.46195,527.5
2015-07,2022-06,,
2015-08,2022-06,,
2015-09,2022-06,,
2015-10,2022-06,6.39,140.0
2015-11,2022-06,,
2015-12,2022-06,,
2016-01,2022-06,,
2016-02,2022-06,,
2016-03,2022-06,,
2016-04,2022-06,,
2016-05,2022-06,,
2016-06,2022-06,,
2016-07,2022-06,,
2016-08,2022-06,,
2016-09,2022-06,13.23,15.0
2016-10,2022-06,,
2016-11,2022-06,,
2016-12,2022-06,,
2017-01,2022-06,,
2017-02,2022-06,,
2017-03,2022-06,,
2017-04,2022-06,,
2017-05,2022-06,,
2017-06,2022-06,,
2017-07,2022-06,,
2017-08,2022-06,,
2017-09,2022-06,,
2017-10,2022-06,4.10125,14.22
2017-11,2022-06,,
2017-12,2022-06,,
2018-01,2022-06,,
2018-02,2022-06,,
2018-03,2022-06,3.25,330.0
2018-04,2022-06,4.5,100.0
2018-05,2022-06,3.25,25.0
2018-06,2022-06,,
2018-07,2022-06,,
2018-08,2022-06,,
2018-09,2022-06,,
2018-10,2022-06,,
2018-11,2022-06,,
2018-12,2022-06,,
2019-01,2022-06,,
2019-02,2022-06,,
2019-03,2022-06,,
2019-04,2022-06,5.25,85.72
2019-05,2022-06,4.217379039021638,1311.58
2019-06,2022-06,5.764705882352941,680.0
2019-07,2022-06,5.901867219917013,241.0
2019-08,2022-06,5.99506002910502,1649.2
2019-09,2022-06,6.01578947368421,323.0
2019-10,2022-06,16.141750767768457,1967.8498
2019-11,2022-06,7.9766094898641136,897.8
2019-12,2022-06,,
2020-01,2022-06,6.837154362416108,149.0
2020-02,2022-06,6.071945130315501,911.25
2020-03,2022-06,6.846857597454256,125.7
2020-04,2022-06,6.127434403520209,1718.08
2020-05,2022-06,8.15002,4.0003
2020-06,2022-06,6.7675,600.0
2020-07,2022-06,6.642820709002805,196.05
2020-08,2022-06,8.956908647140866,717.0
2020-09,2022-06,6.612055025021307,457.61
2020-10,2022-06,7.802845006101394,1081.72
2020-11,2022-06,6.589867714723926,156.48
2020-12,2022-06,7.879602217348927,328.32000000000005
2021-01,2022-06,8.817746217148924,376.7
2021-02,2022-06,7.354166666666667,240.0
2021-03,2022-06,8.072454407294831,131.6
2021-04,2022-06,7.790781363306745,441.28
2021-05,2022-06,7.904411764705882,68.0
2021-06,2022-06,6.495560747663551,214.0
2021-07,2022-06,7.5259846032786895,381.25
2021-08,2022-06,6.861393459241444,234.3005
2021-09,2022-06,9.261840814184332,438.23
2021-10,2022-06,6.592434691185888,1927.6305000000004
2021-11,2022-06,8.359689440993789,80.5
2021-12,2022-06,7.539767889150943,1696.0
2022-01,2022-06,7.233260963960053,115.15
2022-02,2022-06,6.814913347522045,65.78
2022-03,2022-06,9.249399244764849,29.130000000000003
2022-04,2022-06,4.299790272448751,476.9998
2022-05,2022-06,5.124840000000001,164.0
2022-06,2022-06,16.133000067262774,630.423
2022-07,2022-06,,
2022-08,2022-06,,
2022-09,2022-06,,
2022-10,2022-06,,
2022-11,2022-06,,
2022-12,2022-06,,
2023-01,2022-06,,
2023-02,2022-06,,
2023-03,2022-06,,
2023-04,2022-06,,
2023-05,2022-06,,
2023-06,2022-06,,
2023-07,2022-06,,
2023-08,2022-06,,
2023-09,2022-06,,
2023-10,2022-06,,
2023-11,2022-06,,
2023-12,2022-06,,
2024-01,2022-06,,
2024-02,2022-06,,
2024-03,2022-06,,
2024-04,2022-06,,
2024-05,2022-06,,
2024-06,2022-06,,
2024-07,2022-06,,
2024-08,2022-06,,
2024-09,2022-06,,
2024-10,2022-06,,
2024-11,2022-06,,
2024-12,2022-06,,
2013-01,2022-01,,
2013-02,2022-01,,
2013-03,2022-01,,
2013-04,2022-01,,
2013-05,2022-01,,
2013-06,2022-01,,
2013-07,2022-01,2.8,20.0
2013-08,2022-01,,
2013-09,2022-01,,
2013-10,2022-01,,
2013-11,2022-01,,
2013-12,2022-01,5.945342601787488,120.84
2014-01,2022-01,,
2014-02,2022-01,,
2014-03,2022-01,,
2014-04,2022-01,,
2014-05,2022-01,,
2014-06,2022-01,,
2014-07,2022-01,,
2014-08,2022-01,,
2014-09,2022-01,,
2014-10,2022-01,3.3333333,64.0
2014-11,2022-01,,
2014-12,2022-01,,
2015-01,2022-01,,
2015-02,2022-01,,
2015-03,2022-01,,
2015-04,2022-01,,
2015-05,2022-01,,
2015-06,2022-01,13.22245,527.5
2015-07,2022-01,,
2015-08,2022-01,,
2015-09,2022-01,,
2015-10,2022-01,6.39,126.0
2015-11,2022-01,,
2015-12,2022-01,,
2016-01,2022-01,,
2016-02,2022-01,,
2016-03,2022-01,,
2016-04,2022-01,,
2016-05,2022-01,,
2016-06,2022-01,,
2016-07,2022-01,,
2016-08,2022-01,,
2016-09,2022-01,13.23,15.0
2016-10,2022-01,,
2016-11,2022-01,,
2016-12,2022-01,,
2017-01,2022-01,,
2017-02,2022-01,,
2017-03,2022-01,,
2017-04,2022-01,,
2017-05,2022-01,,
2017-06,2022-01,,
2017-07,2022-01,,
2017-08,2022-01,,
2017-09,2022-01,,
2017-10,2022-01,,
2017-11,2022-01,,
2017-12,2022-01,,
2018-01,2022-01,,
2018-02,2022-01,,
2018-03,2022-01,3.25,330.0
2018-04,2022-01,4.5,100.0
2018-05,2022-01,3.25,25.0
2018-06,2022-01,,
2018-07,2022-01,,
2018-08,2022-01,,
2018-09,2022-01,,
2018-10,2022-01,,
2018-11,2022-01,,
2018-12,2022-01,,
2019-01,2022-01,,
