period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-11,2.9130081158536587,0.0,0.0,0.0,0.0,0.0,2.9219512048780487,2.930894293902439,2.9398373829268296,2.9487804719512196,11,2014,2.9040650268292683,2.8951219378048783
2014-11,2.9040650268292683,0.0,0.0,0.0,0.0,0.0,2.9130081158536587,2.9219512048780487,2.930894293902439,2.9398373829268296,11,2014,2.8951219378048783,2.886178848780488
2014-11,2.8951219378048783,0.0,0.0,0.0,0.0,0.0,2.9040650268292683,2.9130081158536587,2.9219512048780487,2.930894293902439,11,2014,2.886178848780488,2.877235759756098
2014-11,2.886178848780488,0.0,0.0,0.0,0.0,0.0,2.8951219378048783,2.9040650268292683,2.9130081158536587,2.9219512048780487,11,2014,2.877235759756098,2.8682926707317074
2014-11,2.877235759756098,0.0,0.0,0.0,0.0,0.0,2.886178848780488,2.8951219378048783,2.9040650268292683,2.9130081158536587,11,2014,2.8682926707317074,2.8593495817073173
2014-11,2.8682926707317074,0.0,0.0,0.0,0.0,0.0,2.877235759756098,2.886178848780488,2.8951219378048783,2.9040650268292683,11,2014,2.8593495817073173,2.850406492682927
2014-11,2.8593495817073173,0.0,0.0,0.0,0.0,0.0,2.8682926707317074,2.877235759756098,2.886178848780488,2.8951219378048783,11,2014,2.850406492682927,2.841463403658537
2014-11,2.850406492682927,0.0,0.0,0.0,0.0,0.0,2.8593495817073173,2.8682926707317074,2.877235759756098,2.886178848780488,11,2014,2.841463403658537,2.8325203146341464
2014-11,2.841463403658537,0.0,0.0,0.0,0.0,0.0,2.850406492682927,2.8593495817073173,2.8682926707317074,2.877235759756098,11,2014,2.8325203146341464,2.823577225609756
2014-11,2.8325203146341464,0.0,0.0,0.0,0.0,0.0,2.841463403658537,2.850406492682927,2.8593495817073173,2.8682926707317074,11,2014,2.823577225609756,2.814634136585366
2014-11,2.823577225609756,0.0,0.0,0.0,0.0,0.0,2.8325203146341464,2.841463403658537,2.850406492682927,2.8593495817073173,11,2014,2.814634136585366,2.805691047560976
2014-11,2.814634136585366,0.0,0.0,0.0,0.0,0.0,2.823577225609756,2.8325203146341464,2.841463403658537,2.850406492682927,11,2014,2.805691047560976,2.7967479585365855
2014-11,2.805691047560976,0.0,0.0,0.0,0.0,0.0,2.814634136585366,2.823577225609756,2.8325203146341464,2.841463403658537,11,2014,2.7967479585365855,2.787804869512195
2014-11,2.7967479585365855,0.0,0.0,0.0,0.0,0.0,2.805691047560976,2.814634136585366,2.823577225609756,2.8325203146341464,11,2014,2.787804869512195,2.778861780487805
2014-11,2.787804869512195,0.0,0.0,0.0,0.0,0.0,2.7967479585365855,2.805691047560976,2.814634136585366,2.823577225609756,11,2014,2.778861780487805,2.7699186914634146
2014-11,2.778861780487805,0.0,0.0,0.0,0.0,0.0,2.787804869512195,2.7967479585365855,2.805691047560976,2.814634136585366,11,2014,2.7699186914634146,2.7609756024390246
2014-11,2.7699186914634146,0.0,0.0,0.0,0.0,0.0,2.778861780487805,2.787804869512195,2.7967479585365855,2.805691047560976,11,2014,2.7609756024390246,2.752032513414634
2014-11,2.7609756024390246,0.0,0.0,0.0,0.0,0.0,2.7699186914634146,2.778861780487805,2.787804869512195,2.7967479585365855,11,2014,2.752032513414634,2.743089424390244
2014-11,2.752032513414634,0.0,0.0,0.0,0.0,0.0,2.7609756024390246,2.7699186914634146,2.778861780487805,2.787804869512195,11,2014,2.743089424390244,2.7341463353658537
2014-11,2.743089424390244,0.0,0.0,0.0,0.0,0.0,2.752032513414634,2.7609756024390246,2.7699186914634146,2.778861780487805,11,2014,2.7341463353658537,2.7252032463414633
2014-11,2.7341463353658537,0.0,0.0,0.0,0.0,0.0,2.743089424390244,2.752032513414634,2.7609756024390246,2.7699186914634146,11,2014,2.7252032463414633,2.7162601573170733
2014-11,2.7252032463414633,0.0,0.0,0.0,0.0,0.0,2.7341463353658537,2.743089424390244,2.752032513414634,2.7609756024390246,11,2014,2.7162601573170733,2.7073170682926833
2014-11,2.7162601573170733,0.0,0.0,0.0,0.0,0.0,2.7252032463414633,2.7341463353658537,2.743089424390244,2.752032513414634,11,2014,2.7073170682926833,2.698373979268293
2014-11,2.7073170682926833,0.0,0.0,0.0,0.0,0.0,2.7162601573170733,2.7252032463414633,2.7341463353658537,2.743089424390244,11,2014,2.698373979268293,2.6894308902439024
2014-11,2.698373979268293,0.0,0.0,0.0,0.0,0.0,2.7073170682926833,2.7162601573170733,2.7252032463414633,2.7341463353658537,11,2014,2.6894308902439024,2.6804878012195124
2014-11,2.6894308902439024,0.0,0.0,0.0,0.0,0.0,2.698373979268293,2.7073170682926833,2.7162601573170733,2.7252032463414633,11,2014,2.6804878012195124,2.6715447121951224
2014-11,2.6804878012195124,0.0,0.0,0.0,0.0,0.0,2.6894308902439024,2.698373979268293,2.7073170682926833,2.7162601573170733,11,2014,2.6715447121951224,2.662601623170732
2014-11,2.6715447121951224,0.0,0.0,0.0,0.0,0.0,2.6804878012195124,2.6894308902439024,2.698373979268293,2.7073170682926833,11,2014,2.662601623170732,2.6536585341463415
2014-11,2.662601623170732,0.0,0.0,0.0,0.0,0.0,2.6715447121951224,2.6804878012195124,2.6894308902439024,2.698373979268293,11,2014,2.6536585341463415,2.6447154451219514
2014-11,2.6536585341463415,0.0,0.0,0.0,0.0,0.0,2.662601623170732,2.6715447121951224,2.6804878012195124,2.6894308902439024,11,2014,2.6447154451219514,2.635772356097561
2014-11,2.6447154451219514,0.0,0.0,0.0,0.0,0.0,2.6536585341463415,2.662601623170732,2.6715447121951224,2.6804878012195124,11,2014,2.635772356097561,2.626829267073171
2014-11,2.635772356097561,0.0,0.0,0.0,0.0,0.0,2.6447154451219514,2.6536585341463415,2.662601623170732,2.6715447121951224,11,2014,2.626829267073171,2.6178861780487805
2014-11,2.626829267073171,0.0,0.0,0.0,0.0,0.0,2.635772356097561,2.6447154451219514,2.6536585341463415,2.662601623170732,11,2014,2.6178861780487805,2.6089430890243905
2014-12,2.6178861780487805,0.0,14.0801,14.0801,2600.0,2.0,2.626829267073171,2.635772356097561,2.6447154451219514,2.6536585341463415,12,2014,2.6089430890243905,2.6
2014-12,2.6089430890243905,0.0,14.0801,14.0801,2600.0,2.0,2.6178861780487805,2.626829267073171,2.635772356097561,2.6447154451219514,12,2014,2.6,2.6
2014-12,2.6,2.64,14.0801,14.0801,2600.0,2.0,2.6089430890243905,2.6178861780487805,2.626829267073171,2.635772356097561,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6089430890243905,2.6178861780487805,2.626829267073171,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6089430890243905,2.6178861780487805,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6089430890243905,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6
